qid,sentid,question,sentence text,label
384,8,Is nintedanib effective for Idiopathic Pulmonary Fibrosis?,"Most recently, pirfenidone and nintedanib, two compounds with pleiotropic anti-fibrotic properties, have been proven effective in reducing functional decline and disease progression in IPF.",0
2604,32,What is the link between lithium use during pregnancy and Ebstein anomaly?,"No women who took lithium during pregnancy were found among four case-control studies of Ebstein's anomaly involving 25, 34, 59, and 89 affected children, respectively.",0
3722,9,What is the role of STAG1/STAG2 proteins in differentiation?,"In all cases, we observed that the simultaneous blocking of STAG1 and STAG2 significantly reduces cell proliferation.",1
1828,27,Is Migalastat used for treatment of Fabry Disease?,migalastat for Fabry disease) and inhibitors of glucosylceramide synthesis (e.g.,0
1853,30,Could hypophosphatemic rickets cause craniosynostosis?,INTRODUCTION TO THE OPHTHALMIC LITERATURE OF AN UNUSUAL CAUSE OF PAPILLEDEMA AND SUBSEQUENT OPTIC ATROPHY: X-linked hypophosphatemic rickets (XLH).Case report of a 3-year-old female presenting with papilledema resulting from craniosynostosis secondary to XLH.Early intervention with craniofacial surgery prevented the development of optic atrophy.Children with XLH should be screened for ophthalmic evidence of elevated intracranial pressure to aid early intervention and prevention of permanent loss of vision,0
2428,3,Is autosomal dominant inheritanced form of Osteogenesis imperfecta caused by mutations in the genes associated with collagen production?,The majority of OI cases have an autosomal dominant pattern of inheritance and are usually caused by mutations in genes encoding type I collagen,0
1174,18,Which depression rating scales were shown to have acceptable psychometric properties for screening of poststroke depression?,"The proportion of patients correctly identified as depressed by the test (sensitivity) when rated by nurses was 64%, and the proportion of patients not depressed who were correctly identified by the test (specificity) was 61%, whereas carers achieved sensitivity 90% and specificity 35%.",0
4103,1,Explain amniotic band syndrome.,Amniotic band syndrome is a rare congenital disorder caused by entrapment of fetal parts (usually a limb or digits) in fibrous amniotic bands while in utero that presents with complex multisystem anomalies.,1
435,6,What is the molecular function of psoralen photobinding on DNA?,"The crystal and molecular structure of 4,4&apos;,5&apos;-trimethylazapsoralen, obtained by X ray diffraction, was also reported.",0
3529,8,Are CD8+ (cytotoxic) T cells and  CD4+ Helper T cells generated in the thyroid and express the T-cell receptor?,"In the thymus, immature CD8(-4)-TCR- cells differentiate, possibly via a short stage of CD8+4- thymocytes, into CD8+4+ TCR+ T cells and mature further into the main T cell populations, the CD8+4- TCR+ cytotoxic T lymphocytes and the CD4+8- TCR+ T helper cells.",1
2353,15,What is the function of the H19 (ICR) locus in the human genome?,Mouse/human sequence divergence in a region with a paternal-specific methylation imprint at the human H19 locus.,0
2612,9,Please list 6 symptoms of Scarlet fever.,") SI with a pronounced generalization including a pharyngeal one (31 cases), 4 of them with a rash (scarlet fever); extrapharyngeal (7 cases), 6 of them with a rash (scarlet fever); 2) SI without pronounced generalization (localized) including 33 cases with the involvement of the lungs and tonsilla and having an ordinary course and 11 cases of a sudden death.",1
2148,22,Describe the mechanism of action of Bezlotoxumab?,We also show that bezlotoxumab neutralizes TcdB by blocking binding of TcdB to mammalian cells.,0
1330,14,What is the definition and the biological role of epithelial-mesenchymal transition (EMT),This term is used to describe the mechanisms facilitating cellular repositioning and redeployment during embryonic development and tissue reconstruction after injury.,0
509,28,Is phospholamban a regulatory/inhibitory protein of the Ca ATPase SERCA?,"We used EPR spectroscopy to probe directly the interaction between phospholamban (PLB) and its regulatory target, the sarcoplasmic reticulum Ca-ATPase (SERCA)",0
2471,13,Describe King–Kopetzky syndrome.,The main reported disability is hearing speech in the presence of background noise.,0
633,23,What is the main role of Ctf4 in dna replication?,"Using in vivo RNAi knockdown of CTF4 in Drosophila we show that Ctf4 is required for viability, S phase progression, sister chromatid cohesion, endoreplication, and coping with replication stress.",0
1572,19,What is the role of eteplirsen in DMD patients?,The present study used a double-blind placebo-controlled protocol to test eteplirsen's ability to induce dystrophin production and improve distance walked on the 6-minute walk test (6MWT).,0
1585,3,Can Preimplantation Genetic Diagnosis (PGD) be used for gender selection?,"In this study, the analysis of a large series of PGD procedures for gender selection from a wide geographical area in the USA shows that, in general, there is no deviation in preference towards any specific gender except for a preference of males in some ethnic populations of Chinese, Indian and Middle Eastern origin that represent a small percentage of the US population.",0
3257,9,List symptoms of the One-and-a-half syndrome.,We report a unique neuroophthalmological syndrome consisting of vertical one-and-a-half syndrome-resulting from a combination of supranuclear conjugate upgaze palsy associated with left infranuclear (fascicular) third nerve involvement (Weber syndrome)-with concomitant contralesional pseudo-abducens palsy.,0
1109,4,Which glands are subject to attack by lymphocytes in Sjogren's syndrome?,"Sjögren's syndrome (SjS) is a systemic autoimmune disease in which an immunological attack against the salivary and lacrimal glands results, respectively, in severe dry mouth and dry eye diseases.",1
2263,6,Is scuba diving safe during pregnancy?,"The different international federations and the Undersea and Hyperbaric Medical Society advise against scuba diving for pregnant women or those planning a pregnancy, but no randomized trials or trials provide a solid scientific basis.",0
1068,8,Which clotting factor is inhibited by betrixaban?,"Betrixaban is a novel oral factor Xa inhibitor administered once daily, mostly excreted unchanged in the bile and with low (17%) renal excretion.",0
860,11,Is hypersensitivity to DNA crosslinking agents a hallmark of Fanconi anemia?,"Genetic or epigenetic inactivation of the pathway formed by the Fanconi Anemia (FA) proteins occurs in several cancer types, including head and neck squamous cell carcinomas (HNSCC), rendering the affected tumors potentially hypersensitive to DNA crosslinking agents.",0
3307,20,Which drugs are included in the drug LONSURF?,"Trifluridine/tipiracil ( Lonsurf ) is a fixed-dose combination tablet comprising trifluridine , an antineoplastic nucleoside analogue , and tipiracil , a thymidine phosphorylase inhibitor .",0
926,6,Is there a role for transcription factories in genome organization?,"Based on this analysis, we propose that transcription factories result from the aggregation of RNA polymerase II-containing pre-initiation complexes assembled next to each other in the nuclear space.",0
1242,31,Is nimodipine recommended for prevention of vasospasm in aneurysmal subarachnoid hemorrhage patients?,The incidence of symptomatic vasospasm was five of 33 patients in the fasudil group and nine of 32 patients in the nimodipine group.,0
1579,5,What is the role of Thyrotropin Releasing Hormone in the treatment of comatose patients?,"[Montirelin hydrate (NS-3), a TRH analog, improved the disturbance of consciousness caused by head concussion and pentobarbital in mice].",1
851,18,Describe the mechanism of action of aliskiren. ,"With its unique mechanism of action, combining aliskiren with another RAAS-blocking agent that has a different mechanism of action may provide more comprehensive blockade of the RAAS, potentially conferring additional clinical benefits",0
2724,12,What phenotype is associated with the V60L mutation in the human MC1R gene?,"We describe a minisequencing protocol for screening DNA samples for the presence of 12 mutations in the human melanocortin 1 receptor gene (MC1R), eight of which are associated with the red hair phenotype.",1
3321,35,Is there a vaccine for rotavirus?,The monovalent rotavirus vaccine RIX4414 (Rotarix™) is administered as a two-dose oral series in infants and has demonstrated protective efficacy against RVGE in clinical trials conducted in developed countries.,0
3329,35,Rachmilewitz Index is used for which diseases?,"Rachmilewitz scoring system (endoscopic activity index [EAI]) was used to determine UC activity, and as for CD activity, CD activity index (CDAI) scoring was used.",0
1374,1,Which mechanisms underlie adaptive mutagenesis (stationary-phase mutagenesis) in Bacillus subtilis?,"the B. subtilis' ability to accumulate chromosomal mutations under conditions of starvation is influenced by cell differentiation and transcriptional derepression, as well as by proteins homologous to transcription and repair factors.",1
884,8,Which histone modifications are correlated with transcription elongation?,"Overall, our results show and suggest that multiple H4, H2A, and H3 residues contribute to and form a Set2 docking/recognition site on the nucleosomal surface so that proper Set2-mediated H3 Lys(36) di- and trimethylation, histone acetylation, and transcriptional elongation can occur.",0
554,12,What is the biological role of K-48 linked protein ubiquitination?,NF-κB and ubiquitylation initially became linked when it was recognised that lysine (K)48-linked ubiquitin chains are involved in the processing of NF-κB precursors and the degradation of inhibitor of kappa B (IκB) proteins,1
1551,4,Can we use platelet biomarkers to study Alzheimer's disease?,"Those include platelet-related disorders, such as storage pool disease, gray platelet syndrome, and Quebec platelet disorder; diseases where unwanted platelet activation is highly relevant, such as thrombosis and cardiovascular disease; and other diseases, such as cystic fibrosis, uremia, or Alzheimer's disease.",1
1171,2,Is nicotinamide effective for skin cancer prevention?,"Similar differences were found between the nicotinamide group and the placebo group with respect to new basal-cell carcinomas (20% [95% CI, -6 to 39]lower rate with nicotinamide, P=0.12) and new squamous-cell carcinomas (30% [95% CI, 0 to 51] lower rate, P=0.05).",0
1110,4,Describe Malgaigne fracture.,"Pelvic fractures, especially those of a Malgaigne type, frequently occur in patients who are polytraumatized.",1
1913,53,Is avanafil indicated for treatment of erectile dysfunction?,We evaluated the safety and efficacy of 100 and 200 mg avanafil for the treatment of adult males with erectile dysfunction after bilateral nerve sparing radical prostatectomy.,0
30,4,List the endoscopic diagnoses that have been reported in children with autism,The data support the hypothesis that LNH is a significant pathological finding in ASD children.,0
2737,1,Please list 7 classes of drugs that interact with Warfarin.,In patients receiving warfarin who also require NSAIDs,0
80,1,What is being measured with an accelerometer in back pain patients,Physical activity was measured for 7 days at both baseline and at 3 months with an RT3 accelerometer,0
1633,5,What are the major classes of retrotransposons active in the human genome?,"Only a few Alu elements are able to retropose, and the factors determining their retroposition capacity are poorly understood.",1
3048,12,Can pazopanib be used for treatment von Hippel-Lindau disease?,"METHODS
In this non-randomised, single-centre, open-label, phase 2 trial, adult patients with clinical manifestations of von Hippel-Lindau disease were recruited from the University of Texas MD Anderson Cancer Center (Houston, TX, USA) and were treated with pazopanib (800 mg orally daily) for 24 weeks, with an option to continue treatment if desired by the patient and treating physician.",0
1473,5,What is the typical rash associated with gluten ?,Dermatitis herpetiformis (DH) is an autoimmune blistering skin disorder that is associated with gluten sensitivity.,1
212,0,What is the clinical value of MammaPrint?,"In the intermediate-risk subgroup, the 70-gene signature could be useful to decide in elderly patients whether they may benefit from adjuvant chemotherapy or not.",0
385,2,What is the role of SERCA in diabetic cardiomyopathy?,"The expression of PKC, PLB increased significantly, while the PPI-1, SERCA-2 and RyR expression decreased.",0
1724,1,What colonoscopy findings have been reported in autism,There have been several reports of a link between autism and chronic gastrointestinal symptoms.,1
2016,14,Is ocular melanosis a risk factor for uveal melanoma?,"Risk factors so far identified include pre-existing choroidal naevi for uveal melanomas, primary acquired melanosis (PAM) for conjunctival tumours, and ocular and oculodermal melanocytosis for uveal and orbital lesions",0
3803,26,Is Tcf3 associated with the Wnt pathway?,T-cell factor 3 (Tcf3) is a component of the Wnt signaling and a dominant downstream effector in ESCs.,1
3809,36,Which type of pluripotency is Otx2 associated with?,The transcription factor Otx2 acts as a negative switch in the regulation of transition from naive to primed pluripotency in mouse pluripotent stem cells,1
4167,14,What is the function of the Eyeless associated gene in Drosophila?,Mammals hav,0
2870,9,What is CIBERSORT used for?,"The main limitations of this study are the use of diverse platforms for measuring gene expression, including some not previously used with CIBERSORT, and the combined analysis of different forms of follow-up across studies.",0
523,2,Is stop codon bypass possible?,Expression of retroviral replication enzymes (Pol) requires a controlled translational recoding event to bypass the stop codon at the end of gag.,0
1323,21,Do ephrins play a role in brain cancer?,"investigating the ephrinA1/EphA2 system in the pathobiology of glioblastoma multiforme (GBM), we uncovered that ephrinA1 is released from GBM and breast adenocarcinoma cells as a soluble",0
3447,1,List types of cancer where Long intergenic nonprotein coding RNA p53-induced transcript (LINC-PINT) is involved,We identify an 87-amino-acid peptide encoded by the circular form of the long intergenic non-protein-coding RNA p53-induced transcript (LINC-PINT) that suppresses glioblastoma cell proliferation in vitro and in vivo.,1
3359,9,Is the FIP virus thought to be a mutated strain for the Feline enteric Coronavirus?,Feline infectious peritonitis virus (FIPV) was presumed to arise from mutations in the 3c of a ubiquitous and largely nonpathogenic feline enteric coronavirus (FECV).,1
2454,2,Does the human lncRNA LINC-PINT promote tumorigenesis?,We find that LINC-PINT is downregulated in multiple types of cancer and acts as a tumor suppressor lncRNA by reducing the invasive phenotype of cancer cells.,1
2604,11,What is the link between lithium use during pregnancy and Ebstein anomaly?,Cross-sectional echocardiography was used to evaluate two neonates whose mothers ingested lithium during pregnancy.,0
1145,37,Could RG7112 be used as cancer therapy?,"Notably, RG7112 was highly synergistic with androgen deprivation in LNCaP xenograft tumors.",0
628,50,Tumor-treating fields are effective for treatment of which cancers?,Mitotic disruption and reduced clonogenicity of pancreatic cancer cells in vitro and in vivo by tumor treating fields.,0
3836,29,The NoSAS Score can be used for screening of which disorders?,"The sensitivity and specificity of NoSAS combined with improved Mallampati grading for screening OSA were 0.813 and 0.710, res",0
3703,7,Does radiotherapy for Hodgkin disease increases risk for lung cancer?,Increased risk of second lung cancer in Hodgkin's lymphoma survivors: a meta-analysis.,1
3287,18,Which bacteria causes rat bite fever?,Streptobacillus moniliformis is a fastidious growing Gram-negative bacillus responsible of rat-bite fever,0
2410,3,Is overproduction of transthyretin is associated with amyloidosis associated neuropathy?,"Hereditary transthyretin amyloidosis is an autosomal dominant inherited disorder, first described in families with sensorimotor and autonomic neuropathy.",1
3106,3,Which tool is used to visualise the junction sites of chloroplast genomes?,The software and its dependent libraries are fully coded in R and the reflected plot is scaled up to realistic size of nucleotide base pairs in the vicinity of the junction sites.,1
879,5,What is evaluated with the Hydrocephalus Outcome Questionnaire?,"In older children with hydrocephalus, the cHOQ appears to be a scientifically reliable means of assessing long-term outcome.",0
3587,5,Does Estrogen lead to forkhead FoxA1 activation?,"Furthermore, knockdown of FoxA1 expression blocks the association of ER with chromatin and estrogen-induced gene expression demonstrating the necessity of FoxA1 in mediating an estrogen response in breast cancer cells.",1
1555,11,Which are the state-of-the-art computational tools for the prediction of gene fusion events?,"Functional links between proteins can often be inferred from genomic associations between the genes that encode them: groups of genes that are required for the same function tend to show similar species coverage, are often located in close proximity on the genome (in prokaryotes), and tend to be involved in gene-fusion events.",1
211,14,Is long QT syndrome a cause for sudden cardiac death in athletes?,"Primary electrical disorders (such as the long QT syndrome) are rarely present in athletes but, so far, are a considerable reason for disqualification from sport activity.",0
757,3,Which are the major phycobiliproteins present in cyanobacteria?,C-Phycocyanin (C-Pc) is one of the major biliprotein pigments of unicellular cyanbacterium of Spirulina platenesis,1
1576,15,Which are the DNA (cytosine-5-)-methyltransferases inhibitors?,"The inhibitory activity of hydralazine toward DNMT may be rationalized at the molecular level by similar interactions within the binding pocket (e.g., by a similar pharmacophore) as established by substrate-like deoxycytidine analogues.",0
972,37,What are the computational methods for the prediction of beta-barrel transmembrane proteins?,"Finally, ANN- and SVM-based methods were combined to utilize the full potential of both techniques.",0
837,7,Are defects in recombination repair involved in carcinogenesis?,olymorphisms in DNA repair genes and differences in repair capacity between individuals have been widely documented.,0
144,14,What is the COUGER tool?,"COUGER takes as input two sets of genomic regions bound by paralogous TFs, and it identifies a small set of putative co-factors that best distinguish the two sets of sequences.",0
3574,51,Which gene is frequently involved in autosomal dominant adult-onset demyelinating leukodystrophy (ADLD)?,"While at least a dozen disorders are associated with LMNA, the focus of this review is Autosomal Dominant Leukodystrophy (ADLD), the only disease associated with the lamin B1 gene (LMNB1).",0
1159,0,What is Trypan blue used for?, cell death by trypan blue exclusion assay,1
1560,1,Which molecule is targeted by a monoclonal antibody Secukinumab?,"Their potencies were comparable to those of known neutralizing antibodies, including 2, AIN457 (secukinumab) and ixekizumab that are currently in clinical development for the treatment of various inflammatory disorders.",0
1813,7,What are the SINEUPs?,"We propose SINEUPs as reagents for molecular biology experiments, in protein manufacturing as well as in therapy of haploinsufficiencies",0
806,34,Which enzyme is involved in the maintenance of DNA (cytosine-5-)-methylation?,New genetic studies in plants and mammals have identified a novel factor that increases the fidelity of maintenance methylation.,0
3578,7,What is PRL3-zumab?,"In summary, our results document a comprehensive cancer therapeutic approach to specific antibody-targeted therapy against the PRL-3 oncotarget as a case study for developing antibodies against other intracellular targets in drug discovery.",0
2197,3,Is Pfh1 a component of the replisome?,"DNA replication through hard-to-replicate sites, including both highly transcribed RNA Pol II and Pol III genes, requires the S. pombe Pfh1 helicase.",1
2555,12,Describe RIblast,RIblast: an ultrafast RNA-RNA interaction prediction system based on a seed-and-extension approach.,0
1925,0,Which disease the London mutation involved in?,"In the present study, we used a new training paradigm in the intelliCage automatic behavioral assessment system to investigate cognitive functions of the transgenic mice harboring London mutation of the human amyloid precursor protein (APP.V717I).",0
3699,27,What is the use of erenumab?,Erenumab in the treatment of migraine.,0
96,5,What is the application of the Bimolecular Fluorescence Complementation (BiFC) assay in Drosophila embryos?,The bimolecular fluorescence complementation (BiFC) technology offers this possibility as it enables the direct visualization of protein interactions in living cells.,0
